あーまー
いっちょうら
いまーじゅ
いんかろーず
うわぎ
うすで
うぇあ
うすぎ
うんどうぎ
えもんかけ
えすて
かつら
きぬ
きゃっぷ
きもの
くつべら
くーるびず
くつした
くーこ
くつぞこ
こーで
ころころ
ぎゃざー
ぐっず
ぐんぜ
げた
さきぞめ
しまむら
すがた
すぶ
すとらっぷ
すくーるみずぎ
すりーさいず
すれんだー
すなっぷ
すそ
せーたー
せびろ
じゃんぱー
じーんず
ずぼんした
たんくとっぷ
つなぎ
つけま
つむぎ
つぁっぷ
てぶら
とーとばっぐ
どれすあっぷ
どれーぷ
にーそ
ぬの
はっぴ
ふるぎ
びーず
びょうぶ
ぶるま
ぶら
べべ
ぼうぎょ
ぼんぬ
ぼぶ
ぱじゃま
ぷーま
ぷーぺ
まにきゅあ
まふらー
ますから
みさんが
みずぎ
みの
もんぺ
ゆにくろ
ゆかた
りんず
りんすいんしゃんぷー
るんぎー
るーじゅ
るくるーぜ
るーむうぇあ
ろんぐへあ
ろりーた
ろーぶ
